Example,How confident are you in the models prediction? (1-5),Is the model looking at the correct feature? (1-5)
1,4,3
2,4,3
3,5,4
4,3,2
5,5,3
6,1,2
7,3,2
8,3,3
9,2,2
10,5,3
11,3,2
12,4,4
13,5,4
14,5,4
15,4,2
16,2,3
17,4,4
18,5,4
19,5,3
20,5,4
21,5,5
22,4,3
23,5,4
24,5,5
25,2,2
26,5,5
27,5,5
28,5,3
29,5,5
30,5,5
31,5,3
32,4,4
33,4,3
34,4,4
35,5,5
36,5,4
37,4,5
38,5,1
39,5,2
40,5,4
41,4,2
42,4,2
43,5,4
44,2,2
45,4,3
46,3,2
47,5,3
48,3,3
49,5,4
50,3,2
51,4,3
52,4,3
53,5,3
54,4,1
55,2,2
56,5,2
57,5,4
58,2,2
59,5,3
60,5,2
61,3,3
62,3,4
63,5,2
64,4,3
65,2,3
66,5,5
67,5,4
68,5,5
69,5,3
70,2,2
71,5,1
72,5,3
73,3,3
74,3,1
75,5,5
76,5,5
77,2,2
78,4,1
79,5,3
80,4,4
81,5,4
82,5,4
83,5,4
84,5,3
85,5,5
86,4,3
87,4,3
88,5,4
89,5,4
90,5,2
91,5,4
92,5,4
93,5,5
94,1,2
95,1,2
96,5,3
97,5,4
98,5,5
99,5,2
100,5,3
101,4,4
102,5,4
103,3,5
104,5,5
105,2,3
106,5,4
107,5,3
108,5,5
109,4,4
110,5,3
111,5,4
112,5,3
113,3,5
114,5,5
115,5,4
116,5,5
117,1,2
118,2,5
119,4,3
120,5,4
121,5,3
122,5,2
123,5,5
124,5,3
125,5,2
126,5,3
127,4,1
128,5,3
129,5,2
130,5,2
131,5,3
132,5,3
133,5,5
134,5,4
135,5,2
136,5,2
137,5,3
138,5,3
139,4,2
140,5,1
141,1,3
142,5,3
143,5,4
144,5,4
145,5,5
146,5,5
147,4,4
148,5,5
149,5,5
150,5,4
151,5,2
152,5,2
153,5,3
154,5,3
155,5,4
156,5,5
157,5,3
158,5,4
159,5,4
160,5,5
161,5,5
162,5,3
163,4,5
164,2,3
165,5,4
166,2,4
167,4,4
168,5,3
169,1,1
170,5,4
171,2,2
172,5,4
173,5,5
174,5,4
175,2,1
176,1,2
177,2,3
178,3,2
179,5,4
180,1,3
181,5,5
182,5,4
183,2,3
184,4,4
185,5,5
186,2,3
187,4,2
188,5,5
189,2,4
190,4,3
191,5,4
192,5,4
193,3,5
194,5,5
195,2,3
196,5,5
197,3,4
198,5,5
199,5,2
200,5,2
201,3,1
202,5,1
203,5,1
204,3,2
205,2,1
206,4,1
207,2,2
208,1,1
209,1,1
210,3,2
211,2,1
212,4,2
213,2,1
214,3,1
215,1,1
216,1,1
217,3,2
218,5,1
219,5,4
220,2,2
221,5,2
222,3,2
223,5,1
224,3,2
225,2,2
226,2,4
227,2,3
228,3,2
229,1,2
230,4,3
231,2,1
232,1,1
233,1,1
234,2,2
235,2,2
236,3,1
237,5,1
238,2,2
239,2,3
240,1,1
