Example,How confident are you in the models prediction? (1-5),Is the model looking at the correct feature? (1-5)
1,5,5
2,5,5
3,5,4
4,5,3
5,5,4
6,3,3
7,4,5
8,4,5
9,3,3
10,5,3
11,5,3
12,5,4
13,5,5
14,5,4
15,5,5
16,3,2
17,4,5
18,5,5
19,5,5
20,5,5
21,4,3
22,3,2
23,4,3
24,4,4
25,3,2
26,5,4
27,5,3
28,5,4
29,5,4
30,5,4
31,5,4
32,4,3
33,4,3
34,4,3
35,4,4
36,5,4
37,4,4
38,4,2
39,5,4
40,5,4
41,5,3
42,5,3
43,5,5
44,2,2
45,5,3
46,5,3
47,5,3
48,2,2
49,2,2
50,4,4
51,5,3
52,5,4
53,5,2
54,5,4
55,5,3
56,4,2
57,5,2
58,5,4
59,5,3
60,5,4
61,3,2
62,4,3
63,5,3
64,5,2
65,2,2
66,5,3
67,5,2
68,5,3
69,5,3
70,3,2
71,5,3
72,4,2
73,3,2
74,4,3
75,4,3
76,3,3
77,2,2
78,5,3
79,3,2
80,5,3
81,5,5
82,5,5
83,5,4
84,5,4
85,5,4
86,5,3
87,5,3
88,5,3
89,5,3
90,4,3
91,5,2
92,5,3
93,5,4
94,2,1
95,2,2
96,4,3
97,3,4
98,5,4
99,5,4
100,5,4
101,5,3
102,5,4
103,5,3
104,5,3
105,5,3
106,5,2
107,5,3
108,5,3
109,5,3
110,5,4
111,4,3
112,5,3
113,4,3
114,4,4
115,5,4
116,5,4
117,2,2
118,4,2
119,4,3
120,3,4
121,5,3
122,5,2
123,5,3
124,5,4
125,4,4
126,5,5
127,5,4
128,5,3
129,5,2
130,5,2
131,5,2
132,5,2
133,5,5
134,5,4
135,5,2
136,5,1
137,5,2
138,4,3
139,5,4
140,5,4
141,1,2
142,5,4
143,5,3
144,2,3
145,2,3
146,5,4
147,3,2
148,4,2
149,5,3
150,5,2
151,1,1
152,5,4
153,5,3
154,5,3
155,4,3
156,5,4
157,3,3
158,4,3
159,4,2
160,5,3
161,5,4
162,2,1
163,2,4
164,2,3
165,5,4
166,1,1
167,1,4
168,4,2
169,2,2
170,5,2
171,3,2
172,5,1
173,5,4
174,5,4
175,2,1
176,2,2
177,2,4
178,3,1
179,5,5
180,2,3
181,5,3
182,5,4
183,2,2
184,2,1
185,5,1
186,4,3
187,3,3
188,5,4
189,4,3
190,2,2
191,4,3
192,5,5
193,5,4
194,3,4
195,5,3
196,5,4
197,2,2
198,4,2
199,5,3
200,5,4
201,2,1
202,4,1
203,4,1
204,1,1
205,2,1
206,1,2
207,1,1
208,1,1
209,3,1
210,5,3
211,5,3
212,5,2
213,5,1
214,4,2
215,1,1
216,1,1
217,1,1
218,4,1
219,4,1
220,5,2
221,3,1
222,1,1
223,4,1
224,1,1
225,1,3
226,2,1
227,1,1
228,4,1
229,5,2
230,1,2
231,4,1
232,4,1
233,1,1
234,1,1
235,1,1
236,1,1
237,1,1
238,1,1
239,1,1
240,2,1
